OrderId,Longitude,Latitude
301,35.710935,32.983813
302,35.711388,32.98377
303,35.711876,32.983767
304,35.71245,32.983829
305,35.712734,32.98386
306,35.713232,32.984006
307,35.713634,32.98415
308,35.714174,32.984296
309,35.71446,32.984376
310,35.714741,32.984406
311,35.714898,32.984395
312,35.715094,32.984337
313,35.715286,32.984258
314,35.715519,32.984132
315,35.715887,32.983998
316,35.716072,32.983974
317,35.716252,32.98397
318,35.716393,32.984006
319,35.716506,32.984043
320,35.717081,32.984494
321,35.718889,32.98607
322,35.719074,32.986194
323,35.719402,32.986308
324,35.71974,32.986323
325,35.719951,32.986288
326,35.720332,32.986124
327,35.720953,32.985402
328,35.721757,32.984339
329,35.722644,32.983076
330,35.724803,32.980256
331,35.724999,32.98
332,35.724281,32.979565
333,35.722026,32.977879
334,35.719427,32.975937
335,35.718426,32.975047
336,35.717448,32.974004
337,35.716524,32.97278
338,35.715145,32.970719
339,35.714162,32.968282
340,35.713859,32.967467
341,35.712875,32.965021
342,35.705425,32.945729
343,35.704979,32.944631
344,35.704624,32.943926
345,35.703091,32.941494
346,35.703072,32.941466
347,35.702607,32.940762
348,35.702272,32.94031
349,35.702134,32.940126
350,35.702087,32.940062
351,35.701451,32.939335
352,35.700962,32.938845
353,35.700102,32.938109
354,35.699073,32.937336
355,35.698422,32.936906
356,35.697781,32.936531
357,35.696479,32.935787
358,35.695175,32.935008
359,35.694104,32.934252
360,35.692072,32.932521
361,35.691774,32.932271
362,35.69117,32.931801
363,35.690139,32.931071
364,35.689831,32.930877
365,35.689497,32.930666
366,35.689457,32.930642
367,35.689024,32.930383
368,35.688127,32.929892
369,35.687202,32.929449
370,35.682632,32.927408
371,35.681283,32.926814
372,35.679548,32.926039
373,35.679095,32.925835
374,35.678726,32.925667
375,35.678143,32.925384
376,35.677658,32.925042
377,35.6774,32.924816
378,35.677165,32.924571
379,35.676986,32.924362
380,35.67686,32.924173
381,35.676723,32.92394
382,35.676617,32.923744
383,35.676493,32.923444
384,35.676361,32.922982
385,35.676284,32.922511
386,35.67602,32.920824
387,35.675879,32.9203
388,35.675762,32.920006
389,35.675538,32.919554
390,35.675352,32.919292
391,35.674976,32.918827
392,35.674534,32.918404
393,35.674213,32.918147
394,35.673867,32.917909
395,35.673627,32.917769
396,35.670728,32.915957
397,35.667322,32.91386
398,35.664808,32.9123
399,35.663048,32.911261
400,35.662416,32.910839
401,35.661485,32.910257
402,35.660947,32.909932
403,35.660391,32.909624
404,35.660118,32.909496
405,35.659721,32.909339
406,35.65956,32.909273
407,35.657691,32.908988
408,35.657124,32.908996
409,35.65651,32.909018
410,35.655851,32.909044
411,35.655475,32.909055
412,35.65497,32.909077
413,35.654401,32.909081
414,35.65414,32.909066
415,35.653737,32.908995
416,35.653402,32.908882
417,35.653153,32.908753
418,35.652911,32.908583
419,35.652651,32.908334
